recording;score
Itgo4T2_20220206_035000.wav;0.234053341
Itgo4T2_20220206_000000.wav;0.234063793
Itgo4T2_20220204_234000.wav;0.234066676
Itgo4T2_20220208_221000.wav;0.234082681
Itgo4T2_20220207_052000.wav;0.234131579
Itgo4T2_20220206_212000.wav;0.2341317
Itgo4T2_20220207_031000.wav;0.234149383
Itgo4T2_20220131_212000.wav;0.234160718
Itgo4T2_20220203_053000.wav;0.234161181
Itgo4T2_20220208_015000.wav;0.234169788
Itgo4T2_20220201_004000.wav;0.234173928
Itgo4T2_20220204_233000.wav;0.234174117
Itgo4T2_20220208_025000.wav;0.234181919
Itgo4T2_20220202_204000.wav;0.234186852
Itgo4T2_20220208_195000.wav;0.234211388
Itgo4T2_20220205_223000.wav;0.234214715
Itgo4T2_20220204_035000.wav;0.234224497
Itgo4T2_20220204_195000.wav;0.234231628
Itgo4T2_20220204_194000.wav;0.234243966
Itgo4T2_20220205_014000.wav;0.234246904
Itgo4T2_20220203_010000.wav;0.23425496
Itgo4T2_20220202_210000.wav;0.234261864
Itgo4T2_20220202_050000.wav;0.234277601
Itgo4T2_20220131_015000.wav;0.234279741
Itgo4T2_20220204_012000.wav;0.234319754
Itgo4T2_20220201_014000.wav;0.234335535
Itgo4T2_20220201_200000.wav;0.234340219
Itgo4T2_20220202_234000.wav;0.234345849
Itgo4T2_20220205_021000.wav;0.234346479
Itgo4T2_20220203_034000.wav;0.234347261
Itgo4T2_20220207_185000.wav;0.234347635
Itgo4T2_20220203_213000.wav;0.234368177
Itgo4T2_20220204_203000.wav;0.2343693
Itgo4T2_20220203_215000.wav;0.234377549
Itgo4T2_20220202_042000.wav;0.234386306
Itgo4T2_20220208_000000.wav;0.23438903
